4	9	16.3429	12.1939	0.0304	1
5	9	17.8188	13.2926	0.0678	1
5	13	15.3265	10.3966	0.0665	1
7	14	13.8519	11.9926	0.0859	1
7	10	15.8169	12.6744	0.0761	1
6	13	17.1385	12.5419	0.0066	1
2	11	16.1835	12.3206	0.0897	1
1	9	19.3169	12.2334	0.0938	1
7	14	16.1797	11.9793	0.034	1
4	10	14.0764	10.662	0.0932	1
5	18	94.6391	5.4302	0.0965	0
23	14	26.0328	13.3647	0.0561	0
6	8	61.6696	15.9046	0.0417	0
11	5	93.2534	45.6564	0.0685	0
8	6	43.3999	43.2289	0.0183	0
21	18	39.5305	14.2807	0.0395	0
24	9	42.8483	29.9895	0.0693	0
2	22	44.1276	15.4603	0.0979	0
6	12	5.8275	28.2809	0.0015	0
12	21	0.9915	13.3621	0.0993	0
