1	14	11.0506	11.6278	0.0725
2	14	16.3645	11.6766	0.069
1	11	13.4834	11.8258	0.0128
5	13	18.9659	12.6101	0.0802
7	14	12.7429	11.4228	0.0743
3	14	18.0249	9.9517	0.0488
3	13	15.1535	12.4284	0.0036
2	11	15.2829	10.9512	0.0146
1	10	12.4158	12.9366	0.0273
3	13	14.9419	12.0214	0.0402
4	14	15.8684	12.6718	0.0636
7	13	17.2258	11.5468	0.013
6	12	18.0547	12.4365	0.0431
7	13	14.9978	12.0576	0.0782
2	14	16.5239	13.5317	0.0477
5	12	13.6364	11.0191	0.0372
2	9	16.3309	11.0612	0.0479
7	11	10.6259	11.4427	0.0445
7	14	12.4618	11.7676	0.0012
2	13	16.6252	12.6254	0.0599
1	9	12.7853	11.6995	0.0243
4	11	14.3041	11.3706	0.0556
7	13	14.9043	13.544	0.0403
3	13	14.3057	14.8389	0.0697
5	10	20.1169	12.3904	0.0325
1	9	14.991	9.033	0.0926
6	11	12.8197	13.7465	0.0978
1	14	14.0584	13.2206	0.009
5	12	14.1214	12.463	0.0413
1	13	12.8461	13.8018	0.0042
2	10	12.7732	14.05	0.0252
3	9	16.6026	11.4928	0.0849
7	10	13.7866	11.9436	0.0111
1	10	14.7287	12.3322	0.0984
7	12	13.9753	11.1177	0.0087
3	14	13.016	14.4222	0.0032
5	13	15.2276	11.7292	0.0656
6	11	13.9705	12.4289	0.0214
7	11	14.0446	11.4476	0.0277
5	11	13.4655	9.8595	0.0446
7	10	16.1968	12.0735	0.0786
5	9	13.3771	11.0435	0.0421
7	9	15.22	13.0868	0.0297
5	12	15.0256	11.4419	0.043
4	11	14.0341	12.2411	0.0798
5	9	9.9905	11.4577	0.0946
2	10	14.0755	11.8071	0.0786
4	12	13.7341	11.6644	0.0957
4	14	12.2953	11.5593	0.0804
2	14	13.0788	11.7737	0.0177
7	10	14.7225	12.2231	0.0557
4	13	16.472	13.7775	0.0271
1	9	13.5211	12.7842	0.0752
7	14	16.4603	11.6188	0.0981
3	12	16.2518	11.5983	0.0883
3	9	14.8853	10.7715	0.0232
5	11	15.5294	13.5983	0.0813
6	14	14.405	12.4347	0.0854
6	11	14.5255	10.4133	0.0576
1	9	14.7505	10.7172	0.0086
1	12	18.5246	11.4614	0.097
7	14	17.5703	12.7114	0.0776
4	11	14.8311	10.2961	0.0038
6	12	14.685	12.0602	0.096
2	11	13.1607	9.9212	0.0725
6	13	17.817	12.8929	0.0589
4	9	16.5447	13.6599	0.0036
1	14	12.4745	9.5019	0.0564
3	13	15.0775	12.004	0.056
5	10	15.4977	11.0442	0.0351
4	12	14.9158	13.3282	0.0733
2	9	13.0165	11.6505	0.026
2	11	15.3584	14.5484	0.0609
5	11	12.984	11.0645	0.0408
2	10	15.474	12.085	0.0776
3	10	13.1801	12.7762	0.0586
6	10	16.9994	12.6732	0.058
3	14	11.0961	11.0459	0.0962
7	10	15.6031	11.9143	0.0627
6	9	15.1389	12.726	0.0912
7	11	16.9798	13.2202	0.0534
7	14	15.3306	11.9856	3.0E-4
1	14	16.8239	12.8345	0.0022
3	13	15.1228	13.1952	0.041
7	12	16.6151	10.6911	0.0728
4	11	14.2804	11.7934	0.0415
3	12	13.2332	10.9321	0.064
2	14	11.7844	12.9835	0.0446
3	12	14.016	13.8178	0.089
6	14	14.5104	11.0757	0.067
7	10	16.4315	13.2126	0.0183
1	12	12.4071	9.9139	0.0657
2	12	18.777	13.6726	0.0939
2	13	17.2352	10.761	0.0605
2	11	16.4097	11.9122	0.0775
6	12	14.2839	11.4571	0.0279
7	13	14.4819	11.1786	0.0741
3	13	14.6834	10.8139	0.0312
4	10	17.0425	13.5503	0.0641
4	13	14.9583	11.6698	0.0703
1	24	83.1485	46.2171	0.2831
2	16	98.3887	16.9509	0.2578
8	20	2.2888	1.4574	0.2817
13	10	80.7046	28.9266	0.2432
16	22	5.8368	32.2397	0.1936
2	21	40.3244	2.3737	0.2271
22	6	75.94	37.1701	0.1561
9	1	67.0672	1.2427	0.1928
6	12	96.8497	27.4387	0.1132
13	22	29.2502	23.1437	0.2429
9	4	31.6215	6.0976	0.1863
8	8	32.6244	6.2405	0.0489
23	20	99.5688	10.8203	0.2349
21	9	39.1629	49.3888	0.035
22	22	69.7526	38.6197	0.0603
4	17	20.3149	21.6721	0.0852
12	6	65.3226	25.1415	0.0994
1	9	27.4897	27.1839	0.1106
22	17	7.8526	4.9743	0.2701
3	15	99.4958	46.6571	0.2076
15	3	59.425	44.4406	0.2552
9	24	11.5038	16.0213	0.2185
3	5	88.7425	41.2138	0.0054
7	16	13.2453	47.2833	0.23
11	11	81.7046	44.9357	0.0655
14	3	10.0117	22.5979	0.2191
16	23	60.6849	32.6255	0.2005
20	12	1.0605	22.5709	0.1261
19	6	85.4365	2.7058	0.2956
10	18	41.3306	17.6097	0.1345
7	16	28.3265	10.7116	0.08
7	21	15.9549	49.7243	0.0031
9	13	93.3024	28.3202	0.2272
14	16	41.9253	20.0175	0.0249
19	15	45.4714	47.9139	0.1909
24	8	74.9426	32.3797	0.1816
17	5	93.3055	4.8554	0.1908
5	21	4.2468	47.7729	0.2789
24	12	98.2069	12.4743	0.03
1	15	73.2932	44.7578	0.1705
3	14	77.3625	37.3482	0.1699
5	3	36.2782	48.7131	0.0767
19	21	18.2604	3.8476	0.0525
9	5	10.9856	31.7033	0.0443
21	9	34.0575	27.5577	0.1335
16	4	95.299	11.8075	0.1442
19	17	98.8336	34.4587	0.1284
2	5	83.8206	6.5761	0.1775
16	6	60.2915	35.7572	0.2572
13	5	41.2233	47.9101	0.2399
13	9	48.7602	3.7338	0.2684
18	19	30.0089	11.7957	0.177
17	10	76.6873	22.037	0.1229
20	20	73.3309	31.7829	0.1213
14	8	78.6135	40.5232	0.0778
8	2	37.7801	21.3018	0.1702
7	21	31.3419	15.1701	0.2072
10	6	93.6322	24.1234	0.0829
18	21	92.9852	33.633	0.1072
12	2	19.7983	18.3798	0.2574
17	22	96.5612	18.6922	0.209
8	22	31.818	29.718	0.1214
14	3	17.9305	21.0057	0.2654
9	2	23.2343	44.5252	0.1284
5	4	3.4108	29.3666	0.0452
1	6	84.2721	48.7827	0.0151
6	10	17.2684	0.0573	0.2677
9	13	59.6687	9.6315	0.2788
1	18	80.9372	42.8454	0.0873
4	22	87.4275	7.1969	0.244
19	6	30.0831	44.1479	0.0749
9	17	8.165	15.8753	0.1924
17	8	65.7534	35.212	0.073
5	16	14.0057	18.7322	0.1855
17	5	99.457	0.2642	0.0394
22	6	27.2247	15.4541	0.1453
23	1	6.2171	19.559	0.278
22	3	76.6785	11.7221	0.0963
3	20	7.1339	37.6359	0.0835
3	12	47.1842	48.6374	0.0969
7	15	24.1128	47.813	0.1839
13	12	80.552	23.504	0.0457
9	8	51.9325	43.1678	0.0931
20	5	17.8888	0.2223	0.2964
22	16	38.0034	40.9738	0.2225
5	15	17.9993	28.05	0.1274
23	11	9.9156	1.9484	0.2109
13	1	51.5905	0.8332	0.0913
8	17	3.3522	32.0842	0.1436
18	20	82.463	40.4669	0.1906
14	24	53.8768	33.2591	0.1648
14	12	95.3428	33.12	0.0273
5	7	27.8782	7.4644	0.2231
16	14	55.9258	31.675	0.2631
2	1	57.0936	20.5992	0.1558
23	18	61.0179	22.6754	0.264
12	6	43.6208	5.6782	0.2721
8	15	3.0652	43.8769	8.0E-4
23	22	17.3391	16.3307	0.2662
7	11	35.7441	18.1869	0.0422
